Gene,uniprot_id,Template,Oligomeric state,resolution,GMQE,Seq_identity,disall,chain,Experimetal methodoly,Description
MT1A,P04731,4mt2.1.A,homo-dimer,2.0 A,0.82,85.25,3.8,A,X-ray,METALLOTHIONEIN ISOFORM II. COMPARISON OF THE NMR SOLUTION STRUCTURE AND THE X-RAY CRYSTAL STRUCTURE OF RAT METALLOTHIONEIN-2
SFRP5,Q5T4F7,5xgp.1.A,monomer,2.1 A,0.59,30.83,0,A,X-ray,Secreted Xwnt8 inhibitor sizzled. Structure of Sizzled from Xenopus laevis at 2.08 angstroms resolution
SLC22A8,Q8TCC7,4gby.1.A,monomer,2.8 A,0.45,20.64,1.9,A,X-ray,D-xylose-proton symporter. The structure of the MFS (major facilitator superfamily) proton:xylose symporter XylE bound to D-xylose
SNCG,O76070,2n0a.1.G ,homo-10-mmer,N/A,0.52,63.46,2.2,A,NMR,Alpha-synuclein. Atomic-resolution structure of alpha-synuclein fibrils
TFAP2B,Q92481,5y04.1.A ,hetero-dimer,2.8 A,0.03,18.42,0,A,X-ray,Vinculin. Crystal Structure of the complex between the vinculin D1 domain and alphaE-catenin
SLC6A20, Q9NP91,6m18.1.C ,homo-tetramer,N/A,0.81,46.3,0,C,EM,Sodium-dependent neutral amino acid transporter B(0)AT1. ACE2-B0AT1 complex
CALB2,P22676,2f33.1.A,monomer,N/A,0.78,59.22,0,A,NMR,Calbindin. NMR solution structure of Ca2+-loaded calbindin D28K
SERPINF2,P08697,2r9y.1.A ,monomer,2.6 A,0.76,78.47,0.3,A,X-ray,Alpha-2-antiplasmin. Structure of antiplasmin
PDGFD,Q9GZP0,3kq4.1.B,hetero-dimer,3.3 A,0.24,24.24,1.3,B,X-ray,Cubilin. Structure of Intrinsic Factor-Cobalamin bound to its receptor Cubilin
SLC9A3,P48764,7dsw.1.A,homo-dimer,N/A,0.42,52.74,0.3,A,EM,Sodium/hydrogen exchanger 1. Structure of a human NHE1-CHP1 complex under pH 7.5
HPX,P02790,1qjs.1.A ,monomer,2.9 A,0.9,80.79,0.3,A,X-ray,HEMOPEXIN. mammalian blood serum haemopexin glycosylated-native protein and in complex with its ligand haem
TFF2,Q03403,1psp.1.A ,monomer,2.5A,0.69,75.96,0,A,X-ray,PANCREATIC SPASMOLYTIC POLYPEPTIDE. PANCREATIC SPASMOLYTIC POLYPEPTIDE: FIRST THREE-DIMENSIONAL STRUCTURE OF A MEMBER OF THE MAMMALIAN TREFOIL FAMILY OF PEPTIDES
ETFDH,Q16134,2gmj.1.A,monomer,2.6 A,0.97,95.38,0.2,A,X-ray,Electron transfer flavoprotein-ubiquinone oxidoreductase. Structure of Porcine Electron Transfer Flavoprotein-Ubiquinone Oxidoreductase
EN2,P19622,2hoa.1.A ,monomer,N/A,0.09,53.23,0,A,NMR,"ANTENNAPEDIA PROTEIN. STRUCTURE DETERMINATION OF THE ANTP(C39->S) HOMEODOMAIN FROM NUCLEAR MAGNETIC RESONANCE DATA IN SOLUTION USING A NOVEL STRATEGY FOR THE STRUCTURE CALCULATION WITH THE PROGRAMS DIANA, CALIBA, HABAS AND GLOMSA"
MYCL,P12524,6g6k.1.A ,hetero-dimer,1.3 A,0.13,44.19,0,A,X-ray,Myc proto-oncogene protein. The crystal structures of Human MYC:MAX bHLHZip complex
HYAL2,Q12891,2pe4.1.A ,monomer,2.0 A,0.74,41.79,0.3,A,X-ray,"Hyaluronidase-1. Structure of Human Hyaluronidase 1, a Hyaluronan Hydrolyzing Enzyme Involved in Tumor Growth and Angiogenesis"
CAVIN1,Q6NZI2,4qkv.1.A ,homo-trimer,3.0 A,0.14,100,0,A,X-ray,Polymerase I and transcript release factor. Crystal structure of the mouse cavin1 HR1 domain
TSPAN1,O60635,6k4j.1.A ,monomer,2.7 A,0.64,27.36,0.58,A,X-ray,CD9 antigen. Crystal Structure of the the CD9
ATP6V1B1,P15313,6vq6.1.E,hetero-34-mer,N/A,0.83,88.25,0,E,EM,"V-type proton ATPase subunit B, brain isoform. Mammalian V-ATPase from rat brain - composite model of rotational state 1 bound to ADP and SidK (built from focused refinement models)"
COL13A1,Q5TAT6,7a23.1.H,hetero-45-mer,N/A,0.02,11.43,0,H,EM,B16.6. Plant mitochondrial respiratory complex I
SYNPO,Q8N3V7,1rtk.1.A,monomer,2.3 A,0,11.76,2.2,A,X-ray,Complement factor B. Crystal Structure Analysis of the Bb segment of Factor B complexed with 4-guanidinobenzoic acid
UPK1B,O75841,6k4j.1.A,monomer,2.7 A,0.54,19.72,1.8,A,X-ray,CD9 antigen. Crystal Structure of the the CD9
ZNF143,P52747,5v3j.2.C ,monomer,2.1 A,0.2,37.26,0,C,X-ray,Zinc finger protein 568. MouseZFP568-ZnF1-10 in complex with DNA
CST1,P01037,1rn7.1.A ,monomer,2.5A,0.7,57.98,1,A,X-ray, Cystatin D. Structure of human cystatin D
SCGB3A2,Q96PL1,1utr.1.A ,homo-dimer,N/A,0.36,19.51,5.5,A,NMR,UTEROGLOBIN. UTEROGLOBIN-PCB COMPLEX (REDUCED FORM)
CLDN8,P56748,6akf.2.A ,hetero-dimer,3.9 A ,0.65,45.65,0,A,X-ray,Claudin-3. Crystal structure of mouse claudin-3 P134A mutant in complex with C-terminal fragment of Clostridium perfringens enterotoxin
MLLT6,P55198,5dah.2.A ,hetero-dimer,2.6 A,0.12,91.85,0,A,X-ray,Protein AF-10. Crystal structure of PZP domain of human AF10 protein fused with Histone H3 peptide
MMP23B,O75900,1su3.1.A ,monomer,2.2 A,0.46,28.52,0.8,A,x-ray,Interstitial collagenase. X-ray structure of human proMMP-1: New insights into collagenase action
SLC5A12,Q1EHB4,5nva.1.A ,monomer,2.3 A,0.49,22.2,0.3,A,X-ray,Putative sodium:solute symporter. Substrate-bound outward-open state of a Na+-coupled sialic acid symporter reveals a novel Na+-site
TOX4,O94842,2co9.1.A ,monomer,N/A,0.13,84.09,2.5,A,NMR,thymus high mobility group box protein TOX. Solution structure of the HMG_box domain of thymus high mobility group box protein TOX from mouse
RDX,P35241,2i1k.1.A ,monomer,3.0 A,0.88,59.23,0.7,A,X-ray,Moesin. Moesin from Spodoptera frugiperda reveals the coiled-coil domain at 3.0 angstrom resolution
ACTC1,P68032,3ci5.1.A ,hetero-dimer,1.7 A,0.87,91.71,0,A,X-ray,Major actin. Complex of Phosphorylated Dictyostelium Discoideum Actin with Gelsolin
CNN3,Q15417,1wyn.1.A,monomer,N/A,0.27,68.42,0,A,NMR,Calponin-2. Solution structure of the CH domain of human calponin-2
PLS1,Q14651,1pxy.1.A,monomer,2.4 A,0.62,42.19,0.2,A,X-ray,fimbrin-like protein.  structure of the actin-crosslinking core of Arabidopsis fimbrin
BICD1,Q96G01,6f1t.1.h,hetero-45-mer,N/A,0.11,17.62,0.4,h,EM,"BICD family-like cargo adapter 1,BICD family-like cargo adapter 1,BICD family-like cargo adapter 1. Cryo-EM structure of two dynein tail domains bound to dynactin and BICDR1. "
CTIF,O43310,2i2o.1.A,homo-dimer,1.9 A,0.21,28.16,0,A,X-ray,eIF4G-like protein. Crystal Structure of an eIF4G-like Protein from Danio rerio
ZNF143,P52747,7w1m.1.H ,hetero-hexamer,,0.2,35.94,,C,EM,Cryo-EM structure of human cohesin-CTCF-DNA complex
